Date_ms;response_time_ms;rtd_no
6253.02;1;sip_route
6263.02;1;sip_route
6274.02;1;sip_route
6284.02;0;sip_route
6293.02;1;sip_route
6303.02;0;sip_route
6313.02;1;sip_route
6323.02;1;sip_route
6333.02;0;sip_route
6343.02;1;sip_route
6352.02;0;sip_route
6364.02;0;sip_route
6374.02;1;sip_route
6384.02;0;sip_route
6394.02;1;sip_route
6404.02;1;sip_route
6414.02;0;sip_route
6423.02;1;sip_route
6434.02;1;sip_route
6444.02;0;sip_route
6453.02;1;sip_route
6464.02;1;sip_route
6474.02;1;sip_route
6483.02;1;sip_route
6494.02;0;sip_route
6504.02;1;sip_route
6514.02;1;sip_route
6523.02;0;sip_route
6533.02;1;sip_route
6543.02;1;sip_route
6554.02;1;sip_route
6562.02;0;sip_route
6574.02;1;sip_route
6584.02;1;sip_route
6595.02;2;sip_route
6604.02;0;sip_route
6613.02;1;sip_route
6623.02;1;sip_route
6634.02;1;sip_route
6642.02;1;sip_route
6654.02;1;sip_route
6663.02;1;sip_route
6673.02;1;sip_route
6684.02;1;sip_route
6694.02;1;sip_route
6705.02;3;sip_route
6713.02;1;sip_route
6723.02;1;sip_route
6734.02;1;sip_route
6745.02;1;sip_route
6753.02;1;sip_route
6763.02;1;sip_route
6774.02;1;sip_route
6784.02;1;sip_route
6792.02;0;sip_route
6804.02;1;sip_route
6813.02;1;sip_route
6823.02;1;sip_route
6834.02;1;sip_route
6844.02;1;sip_route
6854.02;1;sip_route
6862.02;0;sip_route
6873.02;1;sip_route
6882.02;0;sip_route
6894.02;0;sip_route
6904.02;1;sip_route
6914.02;0;sip_route
6924.02;1;sip_route
6934.02;1;sip_route
6944.02;1;sip_route
6954.02;1;sip_route
6965.02;1;sip_route
6973.02;1;sip_route
6984.02;1;sip_route
6994.02;1;sip_route
7004.02;1;sip_route
7014.02;1;sip_route
7024.02;1;sip_route
7034.02;1;sip_route
7044.02;1;sip_route
7054.02;1;sip_route
7062.02;0;sip_route
7074.02;0;sip_route
7084.02;1;sip_route
7093.02;1;sip_route
7103.02;0;sip_route
7114.02;1;sip_route
7125.02;1;sip_route
7134.02;2;sip_route
7144.02;2;sip_route
7155.02;1;sip_route
7164.02;1;sip_route
7174.02;0;sip_route
7184.02;0;sip_route
7193.02;1;sip_route
7203.02;1;sip_route
7213.02;1;sip_route
7224.02;1;sip_route
7232.02;1;sip_route
7244.02;1;sip_route
7253.02;0;sip_route
7263.02;1;sip_route
7274.02;1;sip_route
7284.02;0;sip_route
7294.02;1;sip_route
7305.02;1;sip_route
7313.02;1;sip_route
7324.02;1;sip_route
7335.02;1;sip_route
7343.02;1;sip_route
7353.02;1;sip_route
7363.02;0;sip_route
7373.02;1;sip_route
7383.02;1;sip_route
7393.02;1;sip_route
7403.02;1;sip_route
7413.02;0;sip_route
7424.02;1;sip_route
7434.02;1;sip_route
7444.02;1;sip_route
7455.02;2;sip_route
7464.02;1;sip_route
7473.02;1;sip_route
7483.02;0;sip_route
7493.02;1;sip_route
